POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
59,-2050.9832,-19050.0957,-3080.8217,65.5113,0.0,-21101.0789,-3015.3104,-24116.3893
60,-2062.656,-18914.9334,-3140.9893,65.848,0.0,-20977.5894,-3075.1413,-24052.7307
61,-2045.6749,-19070.3319,-3061.2804,65.5331,0.0,-21116.0068,-2995.7473,-24111.7541
62,-2083.7745,-18987.4316,-3085.6814,65.4014,0.0,-21071.2061,-3020.28,-24091.4861
63,-2063.8492,-19021.1502,-3056.0998,65.0845,0.0,-21084.9994,-2991.0153,-24076.0147
64,-2098.8412,-19014.0575,-3111.8374,65.8419,0.0,-21112.8987,-3045.9955,-24158.8942
65,-2072.4343,-18998.8954,-3052.2281,64.7516,0.0,-21071.3297,-2987.4765,-24058.8062
66,-2060.414,-19042.0464,-3032.3741,65.3851,0.0,-21102.4604,-2966.989,-24069.4494
67,-2070.745,-19111.5274,-3050.3694,65.6587,0.0,-21182.2724,-2984.7107,-24166.9831
68,-2062.4344,-19025.4898,-3090.9331,65.848,0.0,-21087.9242,-3025.0851,-24113.0093
69,-2074.9783,-19031.6836,-3067.8883,65.4709,0.0,-21106.6619,-3002.4174,-24109.0793
70,-2060.5724,-18983.9478,-3125.0136,65.5678,0.0,-21044.5202,-3059.4458,-24103.966
71,-2092.9842,-19042.0341,-3106.5944,64.8223,0.0,-21135.0183,-3041.7721,-24176.7904
72,-2079.7591,-19067.3177,-3073.1576,64.7659,0.0,-21147.0768,-3008.3917,-24155.4685
73,-2078.6627,-18939.1893,-3153.1293,65.3676,0.0,-21017.852,-3087.7617,-24105.6137
74,-2048.187,-18971.6771,-3212.56,64.6868,0.0,-21019.8641,-3147.8732,-24167.7373
75,-2077.2379,-18981.6516,-3152.5974,64.8362,0.0,-21058.8895,-3087.7612,-24146.6507
76,-2056.6878,-19044.1966,-3132.0163,64.5747,0.0,-21100.8844,-3067.4416,-24168.326
77,-2078.7946,-19003.1112,-3167.0099,65.3057,0.0,-21081.9058,-3101.7042,-24183.61
78,-2097.8323,-19145.5172,-3108.1014,64.8111,0.0,-21243.3495,-3043.2903,-24286.6398
79,-2079.9261,-19091.6736,-3147.6887,64.4437,0.0,-21171.5997,-3083.245,-24254.8447
80,-2073.1037,-19107.2858,-3095.8672,64.8212,0.0,-21180.3895,-3031.046,-24211.4355
81,-2076.8131,-19091.2237,-3084.6102,64.6831,0.0,-21168.0368,-3019.9271,-24187.9639
82,-2049.512,-19022.6347,-3127.4131,65.3468,0.0,-21072.1467,-3062.0663,-24134.213
